character,in_degree_centrality,out_degree_centrality,betweenness_centrality,eigenvector_centrality
三月七,0.15384615384615385,0.1076923076923077,0.15598691060889702,0.26907206037889114
丹恒•饮月,0.15384615384615385,0.07692307692307693,0.0263713879065895,0.29030211789621474
姬子,0.15384615384615385,0.09230769230769231,0.062451771226661186,0.22356124202076866
瓦尔特,0.1076923076923077,0.07692307692307693,0.006651440957860641,0.20550493404401268
彦卿,0.16923076923076924,0.13846153846153847,0.12003775715541903,0.30336168722768664
云璃,0.07692307692307693,0.09230769230769231,0.03712290538656249,0.20403353631049484
丹恒,0.2153846153846154,0.07692307692307693,0.0868152452974093,0.32016598690309056
星期日,0.1076923076923077,0.1076923076923077,0.13989166228353533,0.1806188809782963
刃,0.13846153846153847,0.1076923076923077,0.09287330679721702,0.24385432616110153
大黑塔,0.09230769230769231,0.09230769230769231,0.04808147019286017,0.05784953197679908
卡芙卡,0.046153846153846156,0.06153846153846154,0.0007301205738705739,0.0584252023646055
银狼,0.06153846153846154,0.06153846153846154,0.01673529028004424,0.06628540412122647
流萤,0.06153846153846154,0.09230769230769231,0.07677377382782502,0.061433013601103245
阿兰,0.046153846153846156,0.046153846153846156,0.0,0.015548971315446525
艾丝妲,0.06153846153846154,0.06153846153846154,0.026140833855058984,0.017634435338453897
黑塔,0.07692307692307693,0.07692307692307693,0.015034551386113894,0.02340441821724214
托帕&账账,0.06153846153846154,0.07692307692307693,0.09479798718861522,0.015348603181057697
阮•梅,0.06153846153846154,0.046153846153846156,0.02771552167889466,0.021477122939910175
布洛妮娅,0.07692307692307693,0.046153846153846156,0.12008434172037113,0.0028382744774326433
希儿,0.09230769230769231,0.06153846153846154,0.0825410924859454,0.0012422776668131153
佩拉,0.06153846153846154,0.06153846153846154,0.017628205128205128,0.0006152098459639375
杰帕德,0.06153846153846154,0.06153846153846154,0.017628205128205128,0.0006152098459639375
卢卡,0.046153846153846156,0.06153846153846154,0.0017908653846153847,0.00046472230713761974
虎克,0.07692307692307693,0.07692307692307693,0.061353652474976025,0.0008566321953469605
娜塔莎,0.07692307692307693,0.06153846153846154,0.04968297939805295,0.0008566321953469605
希露瓦,0.046153846153846156,0.06153846153846154,0.004407051282051282,0.00022956437449778253
玲可,0.046153846153846156,0.046153846153846156,0.0,0.00022956437449778253
桑博,0.046153846153846156,0.06153846153846154,0.15723937622834686,0.002676612750884526
克拉拉,0.03076923076923077,0.046153846153846156,0.0,0.00020776659610767886
花火,0.06153846153846154,0.06153846153846154,0.17774435811240488,0.015309463882508013
砂金,0.12307692307692308,0.1076923076923077,0.1388017204550895,0.050479894380811206
翡翠,0.06153846153846154,0.046153846153846156,0.03653610584676761,0.022417516369189254
青雀,0.046153846153846156,0.07692307692307693,0.011216292819799611,0.06102795938487791
灵砂,0.09230769230769231,0.13846153846153847,0.02452223792025412,0.1934781232209544
符玄,0.07692307692307693,0.06153846153846154,0.012573604787886777,0.1597152326412752
藿藿,0.06153846153846154,0.06153846153846154,0.004829727564102564,0.02041460577178643
桂乃芬,0.046153846153846156,0.06153846153846154,0.004372214324137402,0.034932408439501156
停云,0.015384615384615385,0.046153846153846156,0.00034325570263070264,0.015621883162904587
白露,0.09230769230769231,0.07692307692307693,0.016089052899714667,0.12352161173073424
驭空,0.07692307692307693,0.1076923076923077,0.04134676573583531,0.09935209047702645
景元,0.2,0.13846153846153847,0.0682739260619406,0.334367942854561
罗刹,0.015384615384615385,0.09230769230769231,0.003882523726273726,0.02212657585705691
镜流,0.046153846153846156,0.07692307692307693,0.0018986568986568988,0.09439740489159636
素裳,0.1076923076923077,0.1076923076923077,0.06726104516615211,0.14072065086987706
飞霄,0.12307692307692308,0.12307692307692308,0.021566141941249856,0.2630401148462309
椒丘,0.12307692307692308,0.12307692307692308,0.011665491739540644,0.26866099404710625
雪衣,0.046153846153846156,0.07692307692307693,0.02971340958720766,0.02649632922569739
忘归人,0.03076923076923077,0.03076923076923077,0.019957895946155803,0.018998894191376133
寒鸦,0.03076923076923077,0.046153846153846156,0.000434981684981685,0.0073761623139953925
加拉赫,0.03076923076923077,0.03076923076923077,0.0028724680767950005,0.007578357302357935
米沙,0.03076923076923077,0.03076923076923077,0.001993475274725275,0.004617989270980907
知更鸟,0.09230769230769231,0.046153846153846156,0.05138179462097731,0.043578865904518656
银枝,0.015384615384615385,0.06153846153846154,0.001284736668746966,0.0011135939796866102
真理医生,0.03076923076923077,0.06153846153846154,0.02313481895558729,0.036337414244797965
黑天鹅,0.07692307692307693,0.1076923076923077,0.13287401395187357,0.021791142077966154
黄泉,0.06153846153846154,0.07692307692307693,0.042070581661927814,0.022136896442815072
波提欧,0.046153846153846156,0.1076923076923077,0.03723986950549451,0.007082237696362458
乱破,0.015384615384615385,0.06153846153846154,0.001220998323758621,0.0011135939796866102
貊泽,0.06153846153846154,0.06153846153846154,0.0009455128205128205,0.14610717532076234
阿格莱雅,0.09230769230769231,0.09230769230769231,0.0,0.00018092323625800406
遐蝶,0.09230769230769231,0.09230769230769231,0.0,0.00018092323625800406
风堇,0.09230769230769231,0.09230769230769231,0.0,0.00018092323625800406
赛飞儿,0.09230769230769231,0.09230769230769231,0.0,0.00018092323625800406
那刻夏,0.09230769230769231,0.09230769230769231,0.0,0.00018092323625800406
万敌,0.09230769230769231,0.09230769230769231,0.0,0.00018092323625800406
缇宝,0.09230769230769231,0.09230769230769231,0.0,0.00018092323625800406
